PurchaseOrderId,product_name,purchase_count,purchase_dummy
16021,Front Bumper - LH,1,1
16021,Radiator Support Bracket Upper,1,1
16021,Head Lamp - RH,1,1
16021,Head Lamp - LH,1,1
16021,Windshield Beeding,1,1
16021,Outer Door Handle - RH,1,1
16021,Power Window Switch,1,1
16021,Fender Liner Clip,1,1
16052,Front Fender Lining - RH,1,1
16067,Front Bumper,1,1
16067,Front Bumper Lower,1,1
16067,Garnish,1,1
16067,Front Bumper Lower - LH,1,1
16067,Bumper Grill,1,1
16067,Intercooler,1,1
16067,Radiator,1,1
16067,AC Condenser,1,1
16067,Cross Member,1,1
16527,Blower Motor Assy,1,1
16006,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16006,Flywheel,1,1
16010,Rear Tail Lamp - LH,1,1
16012,Front Suspension Strut - RH,1,1
16012,Front Suspension Strut - LH,1,1
16012,Winding Machine,1,1
16013,Mirror Lens - RH,1,1
16008,AC Filter,1,1
16008,Front Brake pad,1,1
16008,Oil Filter,1,1
16009,Head Lamp Wiring With Relay(X861),1,1
16224,Front Bumper,1,1
16224,Head Lamp - LH,1,1
16224,Front Bumper Bracket,1,1
16017,Brake Booster,1,1
16014,Front Suspension Strut - LH,1,1
16014,Front Suspension Strut - RH,1,1
16014,Tie Rod End - LH/RH,1,1
16023,Outer Door Handle - RH,1,1
16019,Rear Bumper,1,1
16019,Rear Bumper Bracket - RH,1,1
16019,Rear Bumper Bracket - LH,1,1
16022,Side Mirror Indicator - RH,1,1
16024,Oil Filter,1,1
16024,Air Filter,1,1
16024,Front Brake pad,1,1
16024,Rear Brake Pad,1,1
16034,Spark Plug,1,1
16034,Wheel Brake Cylinder,1,1
16034,Rear - RH,1,1
16020,Air Filter,1,1
16026,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16032,Lower Arm,1,1
16032,Shock Absorber Strut,1,1
16032,Rear Shock Absorber,1,1
16032,Brake Shoe,1,1
16032,Rear Wiper Blade,1,1
16032,Rear Outer Door Handle,1,1
16032,Gear Leaver,1,1
16032,Belt,1,1
16032,Caliper Pin 1,1,1
16032,Oil Filter,1,1
16032,Air Filter,1,1
16032,Timing Kit Packing,1,1
16027,Head Lamp - RH,1,1
16027,Head Lamp - LH,1,1
16050,Oil Pump,1,1
16050,Glove Box Lock,1,1
16043,Front Shock Absorber,1,1
16043,Shock Absorber Mount,1,1
16043,Rear Shock Absorber,1,1
16043,Stablizer Bar Bushes,1,1
16043,Steering Assy,1,1
16033,Clutch Cable,1,1
16396,Front Bumper,1,1
16398,Front Bumper Upper Grill,1,1
16398,Front Wheel Arch Cladding - RH,1,1
16398,Front Wheel Arch Cladding - LH,1,1
16047,Front Wheel Bearing,1,1
16045,Wheel Cap,1,1
16068,Gear Leaver,1,1
16038,Wiper Motor & Link Set,1,1
16036,Front Bumper,1,1
16040,Tensioner Assy,1,1
16037,Engine Oil - HX5 - 15W40 (3.5L),1,1
16037,Oil Filter,1,1
16037,Air Filter,1,1
16037,AC Filter,1,1
16037,Fuel Filter,1,1
16037,Drain Nut,1,1
16037,Oil Filter Cap,1,1
16039,Wheel Brake Cylinder,2,1
16039,Rear - RH,1,1
16039,Rear - LH,1,1
16039,Oil Filter,1,1
16039,Rear Wheel Bearing,1,1
16041,Clutch Kit (Disc+Pressure Plate),1,1
16041,Clutch Release Bearing,1,1
16111,Lower Arm - RH,1,1
16044,Water Pump,1,1
16044,Clutch Kit (Disc+Pressure Plate),1,1
16044,Clutch Release Bearing,1,1
16044,Lower Arm - LH,1,1
16086,Seat Belt,1,1
16086,Shock Absorber Mount,1,1
16071,Front Bumper Upper Grill,1,1
16057,Clutch Kit (Disc+Pressure Plate),1,1
16057,Clutch Release Bearing,1,1
16057,Clutch Slave Cylinder,1,1
16049,Front Bumper Bracket - LH,1,1
16049,Front Bumper,1,1
16048,Wiper Blade 12,1,1
16048,Wiper Blade 26,1,1
16048,Wiper Blade 13,1,1
16048,Wiper Blade 14,1,1
16048,Wiper Blade 16,1,1
16048,Wiper Blade 17,1,1
16048,Wiper Blade 21,1,1
16048,Wiper Blade 22,1,1
16048,Wiper Blade 24,1,1
16051,Thermostat Housing,1,1
16062,Front Bumper,1,1
16053,Clutch Release Bearing,1,1
16053,Clutch Kit (Disc+Pressure Plate),1,1
16053,Clutch Cable,1,1
16056,Wiper Tank,1,1
16056,Front Fender Lining - RH,1,1
16056,Mirror Lens Right,1,1
16056,Fender Indicator - RH,1,1
16055,Rear Mud Flap - LH,1,1
16054,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16159,Sensor,1,1
16064,Rear Shock Absorber - LH,1,1
16064,Rear Shock Absorber - RH,1,1
16060,Cap,1,1
16060,Mirror Assy - RH,1,1
16060,Fender Indicator - RH,1,1
16059,Ac Heater Coil,1,1
16140,Head Lamp - LH,1,1
16140,Front Bumper,1,1
16140,Front Bumper Bracket Left,1,1
16140,Front Fender - LH,1,1
16140,Fender Lining,1,1
16128,Rear Wheel Arch Cladding - LH,1,1
16070,Rear Bumper,1,1
16070,Front Bumper,1,1
16070,Front Fender Lining - RH,1,1
16070,Front Fender Lining - LH,1,1
16070,Rear Fender Lining - RH,1,1
16070,Emblem(S),1,1
16070,Emblem (Vdi),1,1
