PurchaseOrderId,product,purchase_count
16070,"Maruti Suzuki_Swift Dzire_Weatherstrip, Rear Door - RH",1
16070,"Maruti Suzuki_Swift Dzire_Weatherstrip, Front Door - LH",1
16070,"Maruti Suzuki_Swift Dzire_Weatherstrip, Front Door - RH",1
16070,Maruti Suzuki_Swift Dzire_Towing cap,1
16065,Maruti Suzuki_Baleno_Front Brake Disc,1
16065,Maruti Suzuki_Baleno_Lower Arm - LH,1
16065,Maruti Suzuki_Baleno_Lower Arm - RH,1
16065,Maruti Suzuki_Baleno_Front Stabilizer Link Set,1
16065,Maruti Suzuki_Baleno_Front Fog Lamp - LH,1
16072,Chevrolet_Enjoy_Oil Filter,1
16072,Chevrolet_Enjoy_Air Filter,1
16072,Chevrolet_Enjoy_Fuel Filter,1
16072,Chevrolet_Enjoy_Front Stabilizer Link - LH/RH,1
16096,Renault_Kwid_Head Lamp - RH,1
16096,Renault_Kwid_Front Bumper,1
16096,Renault_Kwid_Front Fender Lining - RH,1
16096,Renault_Kwid_Head Lamp - LH,1
16074,Maruti Suzuki_Swift_Caliper,1
16074,Maruti Suzuki_Swift_Bolt,1
16074,Maruti Suzuki_Swift_Wheel Nut,1
16074,Maruti Suzuki_Swift_Fog Lamp Cover - RH,1
16099,Hyundai_Santro_Rear Brake Shoe Set,1
16099,Hyundai_Santro_Front Indicator Lens - RH,1
16099,Hyundai_Santro_Inner Door Handle - RH,1
16293,Renault_Duster_Chrom Top Grill,1
16293,Renault_Duster_Head Lamp - LH,1
16293,Renault_Duster_Front Bumper Lower,1
16293,Renault_Duster_Radiator Support Bracket Upper,1
16115,Volkswagen_Polo_Lower Arm Set,1
16115,Volkswagen_Polo_Front Shock Absorber,1
16115,Volkswagen_Polo_Shock Absorber Strut Kit,1
16115,Volkswagen_Polo_Front Suspension Strut Mount,1
16115,Volkswagen_Polo_Balance Rod Bush,1
16115,Volkswagen_Polo_Front Stabilizer Link - LH/RH,1
16124,Honda_Jazz_Air Filter,1
16124,Honda_Jazz_Rear Tail Lamp - RH,1
16124,Honda_Jazz_Rear Tail Lamp - LH,1
16124,Honda_Jazz_AC Filter,1
16116,Toyota_Etios Liva_Front Suspension Strut - RH,1
16116,Toyota_Etios Liva_Front Suspension Strut - LH,1
16116,Toyota_Etios Liva_Lower Arm,1
16125,Maruti Suzuki_Celerio_Clutch Set (Disc+Pressure Plate+Bearing),1
16125,Maruti Suzuki_Celerio_Clutch Cable,1
16125,Maruti Suzuki_Celerio_Gear Oil 1L,1
16139,Volkswagen_Vento_Front Bumper Upper Grill,1
16139,Volkswagen_Vento_Front Bumper Lower Grill,1
16139,Volkswagen_Vento_Fog Lamp Cover - RH,1
16139,Volkswagen_Vento_Bush,1
16139,Volkswagen_Vento_Front Fender Lining - RH,1
16133,Fiat_Linea_Clutch Set (Disc+Pressure Plate+Bearing),1
16133,Fiat_Linea_Ball Joint,1
16133,Fiat_Linea_Tie Rod End Set,1
16133,Fiat_Linea_Oil Seal,1
16133,Fiat_Linea_Front Stabilizer Link Set,1
16134,Maruti Suzuki_Zen ESTILO_Clutch Kit (Disc+Pressure Plate),1
16134,Maruti Suzuki_Zen ESTILO_Clutch Release Bearing,1
16134,Maruti Suzuki_Zen ESTILO_Clutch Cable,1
16246,Ford_Aspire_Wheel Cap,1
16246,Ford_Aspire_Air Duct Assy - RH,1
16246,Ford_Aspire_Rear Bumper Rail,1
16142,Maruti Suzuki_Vitara Brezza_Front Brake pad,1
16142,Maruti Suzuki_Vitara Brezza_Rear Brake Disc,1
16142,Maruti Suzuki_Vitara Brezza_Front Stabilizer Link - LH/RH,1
16142,Maruti Suzuki_Vitara Brezza_Lower Arm,1
16142,Maruti Suzuki_Vitara Brezza_Balance Rod Bush,1
16142,Maruti Suzuki_Vitara Brezza_Front Fog Lamp - LH,1
16143,Maruti Suzuki_Swift_Rear Bumper,1
16143,Maruti Suzuki_Swift_Rear Bumper Bracket - LH,1
16143,Maruti Suzuki_Swift_Rear Bumper Bracket - RH,1
16143,Maruti Suzuki_Swift_Rear Fender Lining - RH,1
16151,Renault_Duster_Front Shock Absorber,1
16151,Renault_Duster_Rear Shock Absorber,1
16151,Renault_Duster_Front Strut Bush Kit,1
16151,Renault_Duster_Front Suspension Strut Mount,1
16157,Maruti Suzuki_Omni_Idler Arm,1
16157,Maruti Suzuki_Omni_Steering Box,1
16157,Maruti Suzuki_Omni_Belt,1
16157,Maruti Suzuki_Omni_Gear Lever Bush,1
16157,Maruti Suzuki_Omni_Front Mud Flap Set,1
16157,Maruti Suzuki_Omni_Rear Mud Flap Set,1
16162,Maruti Suzuki_Alto 800_Front Bumper,1
16162,Maruti Suzuki_Alto 800_Front Fender - LH,1
16162,Maruti Suzuki_Alto 800_Front Bumper Bracket - LH,1
16162,Maruti Suzuki_Alto 800_Bumper Grill,1
16162,Maruti Suzuki_Alto 800_Wheel Cap,1
16178,Honda_City_Rear Bumper,1
16178,Honda_City_Rear Bumper Bracket - LH,1
16178,Honda_City_Rear Tail Lamp - LH,1
16183,Hyundai_Verna_Wheel Nut,1
16183,Hyundai_Verna_Belt,1
16183,Hyundai_Verna_Front Wheel Bearing,1
16213,Hyundai_Creta_Air Filter,1
16213,Hyundai_Creta_Oil Filter,1
16213,Hyundai_Creta_Front Fender - LH,1
